date,dem,state,agency
2014-03-15,24.348125491505,AR,nyt
2014-03-16,24.3017112062404,AR,nyt
2014-03-17,24.3206532038282,AR,nyt
2014-03-18,24.0019294666623,AR,nyt
2014-03-19,23.7731501532955,AR,nyt
2014-03-20,23.6490287077107,AR,nyt
2014-03-21,23.6058907876325,AR,nyt
2014-03-22,23.4031932094604,AR,nyt
2014-03-23,23.362024545952,AR,nyt
2014-03-24,23.2949221062918,AR,nyt
2014-03-25,23.295867320172,AR,nyt
2014-03-26,23.1392796978664,AR,nyt
2014-03-27,23.0677709369793,AR,nyt
2014-03-28,22.9215276153658,AR,nyt
2014-03-29,22.7081157484402,AR,nyt
2014-03-30,22.6202515252944,AR,nyt
2014-03-31,22.1332875410148,AR,nyt
2014-04-01,21.9962297203111,AR,nyt
2014-04-02,21.9390856518337,AR,nyt
2014-04-03,21.9989633902413,AR,nyt
2014-04-04,21.9817036310487,AR,nyt
2014-04-05,21.9421719912691,AR,nyt
2014-04-06,21.9049054762037,AR,nyt
2014-04-07,21.8386056907289,AR,nyt
2014-04-08,32.9074605518102,AR,nyt
2014-04-09,32.6128661414445,AR,nyt
2014-04-10,40.7241826021896,AR,nyt
2014-04-11,40.4443353510749,AR,nyt
2014-04-12,40.7857060332616,AR,nyt
2014-04-13,40.874835862728,AR,nyt
2014-04-14,40.9122426611266,AR,nyt
2014-04-15,44.3205776997087,AR,nyt
2014-04-16,44.371274729456,AR,nyt
2014-04-17,46.2111523303733,AR,nyt
2014-04-18,46.2976083962645,AR,nyt
2014-04-19,45.3994349113518,AR,nyt
2014-04-20,45.5259042628701,AR,nyt
2014-04-21,45.6113718408229,AR,nyt
2014-04-22,45.4358060068206,AR,nyt
2014-04-23,56.2499052967561,AR,nyt
2014-04-24,56.1102285842633,AR,nyt
2014-04-25,57.277938015238,AR,nyt
2014-04-26,57.3971069407398,AR,nyt
2014-04-27,57.5017012271665,AR,nyt
2014-04-28,52.6691229101905,AR,nyt
2014-01-01,88.1429521125097,CO,nyt
2014-01-02,87.9761771901757,CO,nyt
2014-01-03,87.9707416858215,CO,nyt
2014-01-04,87.9733472473387,CO,nyt
2014-01-05,87.7572971866755,CO,nyt
2014-01-06,87.7217054332455,CO,nyt
2014-01-07,87.6615676391476,CO,nyt
2014-01-08,87.5681798966122,CO,nyt
2014-01-09,87.3968890948495,CO,nyt
2014-01-10,87.5026764492669,CO,nyt
2014-01-11,87.5174744656903,CO,nyt
2014-01-12,87.2643863150181,CO,nyt
2014-01-13,87.2286203960307,CO,nyt
2014-01-14,87.3320099563188,CO,nyt
2014-01-15,87.2917869721945,CO,nyt
